OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-32380,2024-164V,2024-10-09T14:00:01.000224,15.43518323,0.0001368,53.1595,337.5886,73.4687,148.5722,0,U,61069,999,532,-3.5606E-02,-1.469744E-02,0
STARLINK-32375,2024-164W,2024-10-09T11:25:35.332032,15.49311953,0.0000943,53.1602,338.0682,106.8480,253.2633,0,U,61070,999,431,4.6142E-05,2.119E-05,0
QAEM 100 R/B,2024-165A,2024-10-09T12:59:34.317024,15.05282486,0.000623,64.0953,257.5245,259.2181,100.8230,0,U,61071,999,380,6.0478E-04,8.517E-05,0
CHAMRAN-1,2024-165B,2024-10-09T13:30:17.653248,15.08055995,0.0015898,64.0894,257.0962,290.9492,68.9920,0,U,61072,999,381,1.0447E-03,1.6066E-04,0
2024-166A,2024-166A,2024-10-09T12:35:49.123104,15.80877206,0.0015106,96.7645,178.5252,154.4973,205.7045,0,U,61179,999,351,3.6307E-04,7.0718E-04,0
2024-166B,2024-166B,2024-10-09T12:35:28.127904,15.80888015,0.0015175,96.7645,178.5254,154.2539,205.9489,0,U,61180,999,349,3.6448E-04,7.1036E-04,0
QAEM 100 DEB,2024-165C,2024-10-08T12:47:25.933056,15.14996647,0.0007184,64.1196,260.2811,283.4633,76.5684,0,U,61181,999,337,2.9866E-02,6.01813E-03,0
GSAT0232 (GALILEO 32),2024-167A,2024-10-09T02:33:28.821312,1.73176995,0.0017029,55.4066,238.2190,273.4055,86.3829,0,U,61182,999,36,0,2.6E-07,0
GSAT0226 (GALILEO 31),2024-167B,2024-10-09T06:42:21.989088,1.71381600,0.0032693,55.4034,238.2236,98.1196,262.2349,0,U,61183,999,35,0,2.6E-07,0
FALCON R/B,2024-167C,2024-10-09T03:49:42.939264,1.72615327,0.0009999,55.4087,238.2245,5.7093,354.2852,0,U,61184,999,34,0,2.6E-07,0
2024-168A,2024-168A,2024-10-09T04:42:41.609952,1.80096497,0.0079187,54.9258,323.5507,294.4917,64.7470,0,U,61185,999,37,0,-4.6E-07,0
2024-168B,2024-168B,2024-10-08T07:53:42.525888,1.82969055,0.0117615,54.9750,323.5716,177.4597,178.0119,0,U,61186,999,34,0,-5E-07,0
2024-168C,2024-168C,2024-10-09T09:09:25.086240,1.84329521,0.0066439,54.9848,323.5281,180.1259,212.9942,0,U,61187,999,38,0,-4.4E-07,0
2024-168D,2024-168D,2024-10-09T05:59:37.503168,4.46575441,0.5794053,55.0022,312.7448,176.6361,190.3998,0,U,61188,999,90,2.0444E-03,1.73003E-03,4.7061E-07
2024-169A,2024-169A,2024-10-09T12:30:24.435360,15.08624379,0.0009489,97.5967,8.7192,209.7836,150.2853,0,U,61189,999,291,1.014E-03,1.5843E-04,0
2024-169B,2024-169B,2024-10-09T12:22:49.272384,15.09088338,0.0009324,97.5869,8.7014,202.7112,157.3705,0,U,61190,999,291,9.879E-04,1.563E-04,0
2024-169C,2024-169C,2024-10-09T12:12:19.225440,15.09793299,0.0010096,97.5940,8.7287,198.9646,161.1208,0,U,61191,999,291,9.7405E-04,1.5713E-04,0
2024-169D,2024-169D,2024-10-09T12:04:46.883424,15.10423054,0.0012661,97.5867,8.7180,205.5590,154.5014,0,U,61192,999,291,1.0534E-03,1.7311E-04,0
2024-169E,2024-169E,2024-10-09T13:33:43.986816,15.10861909,0.0013969,97.5967,8.8142,212.4785,147.5587,0,U,61193,999,292,9.962E-04,1.6572E-04,0
2024-169F,2024-169F,2024-10-09T13:19:19.842528,15.11753359,0.0017169,97.5940,8.8217,221.5553,138.4373,0,U,61194,999,292,9.7704E-04,1.6679E-04,0
2024-170A,2024-170A,2024-10-09T12:51:20.993760,14.13399299,0.0006384,44.8583,12.3165,12.5672,347.5322,0,U,61195,999,269,8.6781E-04,1.511E-05,0
2024-170B,2024-170B,2024-10-09T12:51:56.631168,14.13261302,0.0006519,44.8595,12.3218,4.7617,355.3280,0,U,61196,999,269,8.8915E-04,1.547E-05,0
2024-170C,2024-170C,2024-10-09T12:55:24.071520,14.13216512,0.0006475,44.8632,12.3441,359.9470,0.1365,0,U,61197,999,269,8.6218E-04,1.495E-05,0
2024-170D,2024-170D,2024-10-09T12:57:49.343616,14.13081298,0.0006676,44.8618,12.3514,359.1531,0.9293,0,U,61198,999,271,8.6492E-04,1.496E-05,0
KZ-1A R/B,2024-170E,2024-10-09T12:04:51.571488,14.87850044,0.0490571,44.7460,1.0365,217.2206,139.3697,0,U,61199,999,284,1.7674E-03,1.98326E-03,1.3808E-05
STARLINK-11209 [DTC],2024-171A,2024-10-09T11:38:19.250592,15.76693166,0.0000941,53.1568,202.3927,100.4950,259.6177,0,U,61200,999,420,1.1102E-05,1.161E-05,0
STARLINK-11257 [DTC],2024-171B,2024-10-09T11:31:16.473792,15.76731536,0.0001048,53.1569,202.3595,107.9157,252.1979,0,U,61201,999,421,6.1481E-05,9.42E-05,0
STARLINK-11309 [DTC],2024-171C,2024-10-09T08:21:43.547616,15.76683047,0.0001012,53.1564,202.9595,107.0430,253.0702,0,U,61202,999,328,3.0819E-04,4.998E-04,0
STARLINK-11292 [DTC],2024-171D,2024-10-09T09:45:56.979072,15.76671391,0.0000735,53.1574,202.6107,123.7121,236.3970,0,U,61203,999,329,1.2372E-04,1.959E-04,0
STARLINK-11302 [DTC],2024-171E,2024-10-09T06:36:22.174560,15.76694187,0.0001125,53.1577,203.2094,88.2199,271.8951,0,U,61204,999,417,2.1949E-04,3.5362E-04,0
STARLINK-11277 [DTC],2024-171F,2024-10-09T14:00:01.000224,15.76785675,0.0001184,53.1572,201.5601,67.7810,297.5780,0,U,61205,999,424,-1.3404E-04,-2.2589E-04,0
STARLINK-11279 [DTC],2024-171G,2024-10-09T14:00:01.000224,15.76709098,0.0000975,53.1582,201.5036,88.8492,304.3131,0,U,61206,999,424,1.4551E-04,2.3205E-04,0
